aspartate,without_ctp,with_ctp
0.000,0.000,0.000
0.505,0.012,0.013
1.010,0.024,0.025
1.515,0.038,0.036
2.020,0.053,0.047
2.525,0.072,0.057
3.030,0.094,0.067
3.535,0.120,0.077
4.040,0.149,0.088
4.545,0.179,0.101
5.051,0.209,0.115
5.556,0.239,0.129
6.061,0.270,0.143
6.566,0.305,0.157
7.071,0.343,0.170
7.576,0.382,0.187
8.081,0.420,0.208
8.586,0.454,0.232
9.091,0.485,0.258
9.596,0.515,0.281
10.101,0.547,0.303
10.606,0.584,0.324
11.111,0.616,0.348
11.616,0.639,0.374
12.121,0.658,0.400
12.626,0.675,0.425
13.131,0.694,0.447
13.636,0.713,0.467
14.141,0.733,0.487
14.646,0.753,0.507
15.152,0.772,0.529
15.657,0.786,0.552
16.162,0.798,0.575
16.667,0.808,0.594
17.172,0.817,0.612
17.677,0.826,0.629
18.182,0.835,0.648
18.687,0.844,0.668
19.192,0.853,0.687
19.697,0.862,0.705
20.202,0.870,0.721
20.707,0.877,0.737
21.212,0.884,0.752
21.717,0.889,0.767
22.222,0.894,0.781
22.727,0.899,0.793
23.232,0.903,0.805
23.737,0.907,0.815
24.242,0.911,0.824
24.747,0.914,0.832
25.253,0.918,0.840
25.758,0.921,0.849
26.263,0.925,0.858
26.768,0.928,0.869
27.273,0.930,0.878
27.778,0.933,0.886
28.283,0.936,0.891
28.788,0.939,0.897
29.293,0.942,0.905
29.798,0.945,0.918
30.303,0.948,
30.808,0.951,
31.313,0.953,
31.818,0.956,
32.323,0.957,
32.828,0.959,
33.333,0.961,
33.838,0.962,
34.343,0.964,
34.848,0.965,
35.354,0.967,
35.859,0.969,
36.364,0.971,
36.869,0.972,
37.374,0.973,
37.879,0.974,
38.384,0.974,
38.889,0.974,
39.394,0.974,
39.899,0.975,
40.404,0.975,
40.909,0.976,
41.414,0.976,
41.919,0.977,
42.424,0.977,
42.929,0.978,
43.434,0.978,
43.939,0.979,
44.444,0.979,
44.949,0.980,
45.455,0.980,
45.960,0.981,
46.465,0.982,
46.970,0.982,
47.475,0.982,
47.980,0.983,
48.485,0.983,
48.990,0.982,
49.495,0.982,
50.000,0.981,
